CA,ผลการวิเคราะห์,ระดับความเสี่ยง,ความน่าจะเป็น,คำอธิบายพฤติกรรม,แนวทางดำเนินการ,num_valid_months,ลักษณะการใช้ไฟฟ้า,TRSG,MRU
20010820197,ละเมิด,สูง,0.9802896205758449,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F13101,FNR20243
20010820237,ละเมิด,ปานกลาง,0.5035849650484518,พฤติกรรมมีแนวโน้มผิดปกติ,ส่งเจ้าหน้าที่ตรวจสอบ,6,ปัจจุบันยังใช้ไฟฟ้า,F02401,FNBD0347
20010820279,ละเมิด,ปานกลาง,0.5050857112691357,พฤติกรรมมีแนวโน้มผิดปกติ,ส่งเจ้าหน้าที่ตรวจสอบ,6,ปัจจุบันยังใช้ไฟฟ้า,F02401,FNBD0338
20010820282,ละเมิด,สูง,0.977234023247001,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F01201,FNOS0157
20012771624,ละเมิด,สูง,0.9716766760902202,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F14101,FNR35218
20012771640,ละเมิด,ปานกลาง,0.6070381532452351,พฤติกรรมมีแนวโน้มผิดปกติ,ส่งเจ้าหน้าที่ตรวจสอบ,3,ปัจจุบันยังใช้ไฟฟ้า,F14102,FKTS0903
20012771645,ปกติ,ปานกลาง,0.9981861289167931,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F01401,FNRM0970
20012771669,มิเตอร์ชำรุด,สูง,0.8009167309323024,มิเตอร์อาจมีปัญหาอย่างรุนแรง,ตรวจสอบมิเตอร์โดยด่วน,3,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0853
20012771682,ปกติ,ปานกลาง,0.996599282050331,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0927
20012771685,ละเมิด,สูง,0.9697927164731601,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0873
20012771686,ละเมิด,สูง,0.9590483154844422,พฤติกรรมการใช้ไฟผิดปกติชัดเจน,ตรวจสอบภาคสนามทันที,6,ปัจจุบันยังใช้ไฟฟ้า,F04301,FSIP0360
20012771702,ปกติ,ปานกลาง,0.9007083802549728,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0870
20012771704,มิเตอร์ชำรุด,สูง,0.8431164249322907,มิเตอร์อาจมีปัญหาอย่างรุนแรง,ตรวจสอบมิเตอร์โดยด่วน,3,ปัจจุบันยังใช้ไฟฟ้า,F04101,FSRN0286
20012783167,ปกติ,ปานกลาง,0.9989023603926649,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F05301,FNKE0001
20012783186,ปกติ,ปานกลาง,0.9993633185063122,พฤติกรรมอาจเริ่มเปลี่ยนแปลง,เฝ้าระวังเพิ่มเติม,6,ปัจจุบันยังใช้ไฟฟ้า,F03301,FKSA0001
